,date,National Team,Rating
557,1954-03-20,Scotland,71.95250901933423
558,1954-03-27,Scotland,71.95250901933423
559,1954-04-10,Scotland,72.16608426943053
560,1954-04-24,Scotland,72.16608426943053
561,1954-08-29,Scotland,72.16608426943053
562,1954-09-12,Scotland,72.16608426943053
563,1955-01-08,Scotland,72.29756856242612
564,1955-01-22,Scotland,72.29756856242612
565,1955-02-05,Scotland,74.53004822389254
566,1955-02-11,Scotland,74.53004822389254
567,1955-02-26,Scotland,75.83905317077941
568,1955-03-12,Scotland,75.83905317077941
569,1955-03-19,Scotland,75.21752378838525
570,1955-03-26,Scotland,75.21752378838525
571,1955-04-10,Scotland,75.21752378838525
572,1955-08-20,Scotland,75.21752378838525
573,1955-09-03,Scotland,75.21752378838525
574,1955-09-17,Scotland,75.21752378838525
575,1956-01-14,Scotland,77.05419774232206
576,1956-01-21,Scotland,77.05419774232206
577,1956-01-28,Scotland,77.05419774232206
578,1956-02-04,Scotland,76.82237500388585
579,1956-02-10,Scotland,76.82237500388585
580,1956-02-25,Scotland,75.58729188891999
581,1956-03-10,Scotland,75.58729188891999
582,1956-03-17,Scotland,75.07726048221726
583,1956-03-24,Scotland,75.07726048221726
584,1956-04-02,Scotland,75.07726048221726
585,1956-04-14,Scotland,75.07726048221726
586,1956-05-26,Scotland,75.07726048221726
587,1956-06-02,Scotland,75.07726048221726
588,1956-07-14,Scotland,75.07726048221726
589,1956-08-04,Scotland,75.07726048221726
590,1956-08-18,Scotland,75.07726048221726
591,1956-09-01,Scotland,75.07726048221726
592,1957-01-12,Scotland,76.82414385428075
593,1957-01-19,Scotland,76.82414385428075
594,1957-01-26,Scotland,76.82414385428075
595,1957-02-02,Scotland,78.39799154515534
596,1957-02-09,Scotland,78.39799154515534
597,1957-02-23,Scotland,77.37811170727907
598,1957-03-09,Scotland,77.37811170727907
599,1957-03-16,Scotland,76.93291162149154
600,1957-03-23,Scotland,76.93291162149154
601,1957-04-21,Scotland,76.93291162149154
602,1957-05-25,Scotland,76.93291162149154
603,1957-06-01,Scotland,76.93291162149154
604,1958-01-04,Scotland,76.93291162149154
605,1958-01-11,Scotland,78.14349282793658
606,1958-01-18,Scotland,78.14349282793658
607,1958-02-01,Scotland,77.64545667755276
608,1958-02-08,Scotland,77.64545667755276
609,1958-02-15,Scotland,78.56511014400336
610,1958-03-01,Scotland,77.5899483080806
611,1958-03-09,Scotland,77.5899483080806
612,1958-03-15,Scotland,78.29628031129656
613,1958-03-29,Scotland,78.29628031129656
614,1958-04-07,Scotland,78.29628031129656
615,1958-04-19,Scotland,78.29628031129656
616,1958-07-26,Scotland,78.29628031129656
617,1958-08-16,Scotland,78.29628031129656
618,1958-08-23,Scotland,78.29628031129656
619,1958-09-06,Scotland,78.29628031129656
620,1958-09-20,Scotland,78.29628031129656
621,1959-01-10,Scotland,77.76933565802707
622,1959-01-17,Scotland,77.76933565802707
623,1959-02-07,Scotland,79.37674046189387
624,1959-02-14,Scotland,79.37674046189387
625,1959-02-28,Scotland,78.21619819905334
626,1959-03-14,Scotland,78.21619819905334
627,1959-03-21,Scotland,78.7337748919606
628,1959-03-29,Scotland,78.7337748919606
629,1959-04-04,Scotland,78.7337748919606
630,1959-04-18,Scotland,78.7337748919606
631,1960-01-09,Scotland,78.1424098602159
632,1960-01-16,Scotland,78.1424098602159
633,1960-02-06,Scotland,77.43373475712205
634,1960-02-13,Scotland,77.43373475712205
